Tract,YEAR STRUCTURE BUILT!!Total housing units,YEAR STRUCTURE BUILT!!Total housing units!!Built 2020 or later,YEAR STRUCTURE BUILT!!Total housing units!!Built 2010 to 2019,YEAR STRUCTURE BUILT!!Total housing units!!Built 2000 to 2009,YEAR STRUCTURE BUILT!!Total housing units!!Built 1990 to 1999,YEAR STRUCTURE BUILT!!Total housing units!!Built 1980 to 1989,YEAR STRUCTURE BUILT!!Total housing units!!Built 1970 to 1979,YEAR STRUCTURE BUILT!!Total housing units!!Built 1960 to 1969,YEAR STRUCTURE BUILT!!Total housing units!!Built 1950 to 1959,YEAR STRUCTURE BUILT!!Total housing units!!Built 1940 to 1949,YEAR STRUCTURE BUILT!!Total housing units!!Built 1939 or earlier,Avg Year Built - number,Avg Year Built,BEDROOMS!!Total housing units,BEDROOMS!!Total housing units!!No bedroom,BEDROOMS!!Total housing units!!1 bedroom,BEDROOMS!!Total housing units!!2 bedrooms,BEDROOMS!!Total housing units!!3 bedrooms,BEDROOMS!!Total housing units!!4 bedrooms,BEDROOMS!!Total housing units!!5 or more bedrooms,Avg Bed,,,,Number,Year Range
Census Tract 8020.01; Prince George's County; Maryland,"2,256",0,0,0,411,460,553,558,67,204,3,6,1970 to 1979,"2,256",86,590,917,490,173,0,2,,,,,
Census Tract 8020.02; Prince George's County; Maryland,"1,776",53,8,282,650,90,221,169,169,97,37,5,1980 to 1989,"1,776",8,8,398,"1,149",177,36,3,,,,,
Census Tract 8021.03; Prince George's County; Maryland,"1,122",0,57,95,216,65,101,66,313,152,57,6,1970 to 1979,"1,122",0,12,23,774,171,142,3,,,,,
Census Tract 8021.04; Prince George's County; Maryland,"1,059",0,0,10,46,28,286,354,146,189,0,7,1960 to 1969,"1,059",0,326,399,184,135,15,2,,,,,
Census Tract 8021.06; Prince George's County; Maryland,"2,155",0,42,202,265,350,220,563,416,97,0,6,1970 to 1979,"2,155",118,326,709,627,289,86,2,,,,,
Census Tract 8021.07; Prince George's County; Maryland,"1,653",0,0,0,141,285,417,568,112,88,42,6,1970 to 1979,"1,653",64,293,659,514,99,24,2,,,,,
Census Tract 8022.01; Prince George's County; Maryland,"1,954",128,914,24,118,167,400,61,10,81,51,4,1990 to 1999,"1,954",8,24,662,808,316,136,3,,,,,
Census Tract 8022.03; Prince George's County; Maryland,"1,864",0,0,48,123,54,318,797,331,74,119,7,1960 to 1969,"1,864",79,160,296,663,575,91,3,,,,,
Census Tract 8022.04; Prince George's County; Maryland,"2,121",0,0,188,416,325,245,832,102,0,13,6,1970 to 1979,"2,121",0,0,64,901,633,523,4,,,,,
Census Tract 8023.01; Prince George's County; Maryland,"1,168",4,24,0,7,59,43,201,533,234,63,8,1950 to 1959,"1,168",0,24,52,413,549,130,4,,,,,
Census Tract 8024.04; Prince George's County; Maryland,"1,871",0,0,75,410,233,444,419,44,169,77,6,1970 to 1979,"1,871",87,435,652,583,96,18,2,,,,,
Census Tract 8024.05; Prince George's County; Maryland,"1,853",0,0,162,264,74,396,538,363,39,17,6,1970 to 1979,"1,853",0,480,643,560,129,41,2,,,,,
Census Tract 8024.06; Prince George's County; Maryland,"1,076",0,0,24,168,66,292,180,306,24,16,6,1970 to 1979,"1,076",20,201,378,313,124,40,2,,,,,
Census Tract 8024.07; Prince George's County; Maryland,"2,171",0,0,90,257,263,640,525,215,93,88,6,1970 to 1979,"2,171",247,897,666,291,65,5,2,,,,,
Census Tract 8024.08; Prince George's County; Maryland,"1,166",0,59,25,131,157,353,218,129,61,33,6,1970 to 1979,"1,166",140,443,216,262,79,26,2,,,,,
Census Tract 8025.01; Prince George's County; Maryland,"1,338",16,53,0,144,94,83,492,241,83,132,7,1960 to 1969,"1,338",0,187,630,320,168,33,2,,,,,
Census Tract 8025.02; Prince George's County; Maryland,922,0,20,11,176,52,146,59,127,210,121,7,1960 to 1969,922,0,12,125,284,338,163,4,,,,,
Census Tract 8026; Prince George's County; Maryland,"1,357",0,5,56,69,156,142,272,342,141,174,7,1960 to 1969,"1,357",0,79,344,621,264,49,3,,,,,
Census Tract 8027; Prince George's County; Maryland,959,0,60,62,65,78,55,92,281,136,130,7,1960 to 1969,959,15,82,156,437,231,38,3,,,,,
Census Tract 8028.03; Prince George's County; Maryland,"2,451",25,310,315,298,212,378,315,217,254,127,6,1970 to 1979,"2,451",36,500,404,"1,034",257,220,3,,,,,
Census Tract 8028.04; Prince George's County; Maryland,"2,080",0,17,111,296,396,446,388,180,215,31,6,1970 to 1979,"2,080",0,120,200,"1,295",429,36,3,,,,,
Census Tract 8028.05; Prince George's County; Maryland,"1,949",0,170,171,373,52,313,582,211,67,10,6,1970 to 1979,"1,949",0,49,90,"1,140",616,54,3,,,,,
Census Tract 8029.01; Prince George's County; Maryland,"1,773",0,0,6,129,140,105,323,626,162,282,8,1950 to 1959,"1,773",0,246,386,616,485,40,3,,,,,
Census Tract 8030.01; Prince George's County; Maryland,"1,243",0,40,78,204,238,76,125,164,130,188,6,1970 to 1979,"1,243",4,21,420,485,295,18,3,,,,,
Census Tract 8030.02; Prince George's County; Maryland,"1,103",0,0,17,91,136,147,421,217,26,48,7,1960 to 1969,"1,103",0,34,184,822,63,0,3,,,,,
Census Tract 8031; Prince George's County; Maryland,"1,236",0,0,34,47,113,86,180,290,287,199,8,1950 to 1959,"1,236",0,108,362,426,321,19,3,,,,,
Census Tract 8032; Prince George's County; Maryland,"1,175",0,0,17,130,263,233,307,144,64,17,6,1970 to 1979,"1,175",51,232,496,193,165,38,2,,,,,
Census Tract 8033; Prince George's County; Maryland,"1,773",0,0,84,148,60,320,384,536,157,84,7,1960 to 1969,"1,773",0,102,456,833,297,85,3,,,,,
Census Tract 8034.03; Prince George's County; Maryland,"2,408",0,52,200,197,472,172,370,772,124,49,6,1970 to 1979,"2,408",8,250,641,"1,314",174,21,3,,,,,
Census Tract 8035.08; Prince George's County; Maryland,"1,155",22,98,55,161,255,240,237,60,27,0,5,1980 to 1989,"1,155",37,168,268,403,255,24,3,,,,,
Census Tract 8035.09; Prince George's County; Maryland,"1,409",0,273,254,75,125,121,360,63,85,53,5,1980 to 1989,"1,409",137,93,667,431,71,10,2,,,,,
Census Tract 8035.12; Prince George's County; Maryland,"2,603",70,0,629,252,675,815,70,10,42,40,5,1980 to 1989,"2,603",83,337,371,549,988,275,3,,,,,
Census Tract 8035.13; Prince George's County; Maryland,"2,561",0,0,445,145,875,"1,027",51,18,0,0,5,1980 to 1989,"2,561",136,629,678,845,159,114,2,,,,,
Census Tract 8035.14; Prince George's County; Maryland,"2,964",0,819,369,"1,358",409,9,0,0,0,0,3,2000 to 2009,"2,964",168,304,"1,608",630,201,53,2,,,,,
Census Tract 8035.16; Prince George's County; Maryland,"1,680",0,65,428,356,672,66,82,0,11,0,4,1990 to 1999,"1,680",0,13,136,728,624,179,3,,,,,
Census Tract 8035.19; Prince George's County; Maryland,"2,810",7,318,926,427,400,396,120,82,9,125,4,1990 to 1999,"2,810",110,520,494,"1,133",493,60,3,,,,,
Census Tract 8035.20; Prince George's County; Maryland,"1,715",0,0,118,683,482,358,31,26,0,17,5,1980 to 1989,"1,715",7,0,8,261,"1,023",416,4,,,,,
Census Tract 8035.21; Prince George's County; Maryland,"2,937",16,793,"1,126",410,346,61,33,108,44,0,3,2000 to 2009,"2,937",38,163,342,738,944,712,4,,,,,
Census Tract 8035.24; Prince George's County; Maryland,"1,804",0,50,322,499,434,466,9,24,0,0,5,1980 to 1989,"1,804",0,0,120,"1,124",457,103,3,,,,,
Census Tract 8035.25; Prince George's County; Maryland,"1,070",0,13,33,142,135,203,239,153,64,88,6,1970 to 1979,"1,070",22,293,465,242,48,0,2,,,,,
Census Tract 8035.26; Prince George's County; Maryland,"1,419",0,0,0,569,500,98,230,12,0,10,5,1980 to 1989,"1,419",0,34,302,640,394,49,3,,,,,
Census Tract 8035.27; Prince George's County; Maryland,"1,317",0,0,0,134,648,315,198,9,13,0,5,1980 to 1989,"1,317",0,0,57,552,598,110,4,,,,,
Census Tract 8035.28; Prince George's County; Maryland,"2,660",0,30,230,"1,157","1,037",147,33,9,0,17,4,1990 to 1999,"2,660",38,66,133,762,"1,255",406,4,,,,,
Census Tract 8036.01; Prince George's County; Maryland,"1,203",0,0,25,324,143,74,299,314,12,12,6,1970 to 1979,"1,203",0,0,10,593,518,82,4,,,,,
Census Tract 8036.02; Prince George's County; Maryland,792,21,0,36,41,57,133,365,139,0,0,6,1970 to 1979,792,7,40,167,393,153,32,3,,,,,
Census Tract 8036.05; Prince George's County; Maryland,"2,192",0,67,62,84,178,229,965,441,91,75,7,1960 to 1969,"2,192",84,0,203,821,656,428,3,,,,,
Census Tract 8036.06; Prince George's County; Maryland,"1,419",0,22,0,62,106,165,670,364,30,0,7,1960 to 1969,"1,419",20,0,23,463,585,328,4,,,,,
Census Tract 8036.07; Prince George's County; Maryland,"1,125",0,28,106,314,34,210,233,99,101,0,6,1970 to 1979,"1,125",0,0,41,384,308,392,4,,,,,
Census Tract 8036.08; Prince George's County; Maryland,"1,890",0,0,0,182,233,272,738,277,69,119,7,1960 to 1969,"1,890",0,90,169,741,513,377,3,,,,,
Census Tract 8036.10; Prince George's County; Maryland,"1,180",0,46,17,3,154,132,611,192,19,6,7,1960 to 1969,"1,180",8,191,164,447,295,75,3,,,,,
Census Tract 8036.12; Prince George's County; Maryland,"1,554",0,325,0,81,208,297,424,36,167,16,6,1970 to 1979,"1,554",138,479,555,287,70,25,2,,,,,
Census Tract 8036.13; Prince George's County; Maryland,"2,815",0,0,170,409,157,474,978,434,174,19,6,1970 to 1979,"2,815",83,752,"1,160",640,109,71,2,,,,,
Census Tract 8037; Prince George's County; Maryland,790,0,0,0,10,13,14,74,187,443,49,8,1950 to 1959,790,13,22,83,414,176,82,3,,,,,
Census Tract 8038.01; Prince George's County; Maryland,749,0,0,0,0,74,80,101,368,122,4,8,1950 to 1959,749,0,0,73,328,235,113,4,,,,,
Census Tract 8038.03; Prince George's County; Maryland,"1,730",0,8,36,47,106,421,279,615,94,124,7,1960 to 1969,"1,730",28,111,352,719,320,200,3,,,,,
Census Tract 8039; Prince George's County; Maryland,"1,001",0,9,16,54,50,74,200,418,110,70,7,1960 to 1969,"1,001",0,46,249,316,169,221,3,,,,,
Census Tract 8040.01; Prince George's County; Maryland,"2,558",0,8,198,212,42,925,864,182,42,85,6,1970 to 1979,"2,558",152,"1,061",855,475,15,0,2,,,,,
Census Tract 8040.02; Prince George's County; Maryland,"1,365",0,0,29,0,79,227,329,294,111,296,8,1950 to 1959,"1,365",30,119,571,380,168,97,3,,,,,
Census Tract 8041.01; Prince George's County; Maryland,"1,171",0,8,6,229,187,130,259,130,102,120,7,1960 to 1969,"1,171",103,196,130,335,224,183,3,,,,,
Census Tract 8041.02; Prince George's County; Maryland,"2,360",0,0,308,67,173,487,335,714,217,59,7,1960 to 1969,"2,360",29,301,512,"1,017",304,197,3,,,,,
Census Tract 8042; Prince George's County; Maryland,"1,318",3,0,0,0,18,0,84,275,686,252,9,1940 to 1949,"1,318",0,6,140,753,354,65,3,,,,,
Census Tract 8043; Prince George's County; Maryland,"1,261",0,72,57,70,0,82,346,365,204,65,7,1960 to 1969,"1,261",41,344,366,334,157,19,2,,,,,
Census Tract 8044; Prince George's County; Maryland,948,0,8,35,3,62,107,131,67,101,434,8,1950 to 1959,948,20,134,207,338,179,70,3,,,,,
Census Tract 8046; Prince George's County; Maryland,"1,271",0,78,12,91,44,139,121,184,226,376,8,1950 to 1959,"1,271",68,141,292,408,199,163,3,,,,,
Census Tract 8047; Prince George's County; Maryland,"1,722",0,11,72,0,0,0,115,136,160,"1,228",9,1940 to 1949,"1,722",69,291,526,433,360,43,2,,,,,
Census Tract 8048.01; Prince George's County; Maryland,"1,520",0,0,26,172,169,202,97,386,187,281,7,1960 to 1969,"1,520",365,657,452,34,12,0,1,,,,,
Census Tract 8048.02; Prince George's County; Maryland,"1,374",0,138,64,199,85,211,55,122,481,19,6,1970 to 1979,"1,374",44,512,687,131,0,0,2,,,,,
Census Tract 8049; Prince George's County; Maryland,"1,555",0,28,73,125,112,133,324,158,439,163,7,1960 to 1969,"1,555",81,421,313,478,195,67,2,,,,,
Census Tract 8050; Prince George's County; Maryland,"2,340",0,44,57,265,260,348,391,862,40,73,7,1960 to 1969,"2,340",123,630,517,740,195,135,2,,,,,
Census Tract 8051.01; Prince George's County; Maryland,"1,284",0,0,28,20,18,15,367,304,423,109,8,1950 to 1959,"1,284",44,282,521,296,99,42,2,,,,,
Census Tract 8052.01; Prince George's County; Maryland,"1,362",0,0,0,65,0,115,374,416,170,222,8,1950 to 1959,"1,362",60,154,690,204,159,95,2,,,,,
Census Tract 8052.02; Prince George's County; Maryland,"1,209",0,0,42,147,8,67,170,634,68,73,7,1960 to 1969,"1,209",44,155,456,405,97,52,2,,,,,
Census Tract 8055; Prince George's County; Maryland,"1,182",0,0,71,64,8,48,233,454,137,167,8,1950 to 1959,"1,182",12,189,554,286,107,34,2,,,,,
Census Tract 8056.01; Prince George's County; Maryland,"1,680",0,0,0,486,0,341,352,391,110,0,6,1970 to 1979,"1,680",11,735,761,84,62,27,2,,,,,
Census Tract 8056.02; Prince George's County; Maryland,"1,342",0,0,0,305,337,153,305,156,47,39,6,1970 to 1979,"1,342",8,367,659,276,32,0,2,,,,,
Census Tract 8057; Prince George's County; Maryland,"1,694",0,0,99,129,20,80,416,821,69,60,7,1960 to 1969,"1,694",72,204,577,512,169,160,3,,,,,
Census Tract 8058.01; Prince George's County; Maryland,"1,089",0,0,0,32,37,30,178,723,89,0,8,1950 to 1959,"1,089",0,0,52,487,314,236,4,,,,,
Census Tract 8058.02; Prince George's County; Maryland,"1,161",0,0,0,39,12,84,205,672,147,2,8,1950 to 1959,"1,161",0,36,148,466,328,183,3,,,,,
Census Tract 8059.04; Prince George's County; Maryland,989,0,0,14,115,79,152,98,453,64,14,7,1960 to 1969,989,11,112,64,397,202,203,3,,,,,
Census Tract 8059.06; Prince George's County; Maryland,"1,435",0,0,34,231,252,267,458,109,56,28,6,1970 to 1979,"1,435",20,489,717,209,0,0,2,,,,,
Census Tract 8059.07; Prince George's County; Maryland,"1,357",0,11,0,38,130,168,365,456,103,86,7,1960 to 1969,"1,357",23,424,713,197,0,0,2,,,,,
Census Tract 8059.08; Prince George's County; Maryland,"1,371",0,281,211,72,114,96,366,168,15,48,5,1980 to 1989,"1,371",89,532,526,164,43,17,2,,,,,
Census Tract 8059.09; Prince George's County; Maryland,"2,125",0,612,225,269,185,165,182,421,8,58,5,1980 to 1989,"2,125",217,394,973,415,117,9,2,,,,,
Census Tract 8060; Prince George's County; Maryland,"2,417",0,434,199,11,82,132,270,671,439,179,6,1970 to 1979,"2,417",48,483,720,697,357,112,2,,,,,
Census Tract 8061; Prince George's County; Maryland,"1,709",0,0,33,46,86,18,207,316,586,417,8,1950 to 1959,"1,709",24,302,229,493,411,250,3,,,,,
Census Tract 8064; Prince George's County; Maryland,"1,712",0,315,58,109,56,27,59,273,413,402,7,1960 to 1969,"1,712",39,304,198,564,375,232,3,,,,,
Census Tract 8065.01; Prince George's County; Maryland,"1,558",0,110,17,25,70,66,311,417,138,404,8,1950 to 1959,"1,558",104,254,442,326,224,208,3,,,,,
Census Tract 8066.01; Prince George's County; Maryland,"1,478",0,0,15,55,73,81,248,882,67,57,7,1960 to 1969,"1,478",78,230,319,365,424,62,3,,,,,
Census Tract 8066.02; Prince George's County; Maryland,"1,324",0,0,54,276,75,168,286,225,51,189,7,1960 to 1969,"1,324",0,91,432,383,246,172,3,,,,,
Census Tract 8067.06; Prince George's County; Maryland,"1,596",0,5,19,40,66,475,870,105,16,0,7,1960 to 1969,"1,596",23,260,362,282,593,76,3,,,,,
Census Tract 8067.08; Prince George's County; Maryland,"2,201",0,0,0,265,100,179,448,115,416,678,8,1950 to 1959,"2,201",235,437,722,555,201,51,2,,,,,
Census Tract 8067.10; Prince George's County; Maryland,"2,220",0,24,193,753,677,524,26,23,0,0,5,1980 to 1989,"2,220",0,309,685,552,392,282,3,,,,,
Census Tract 8067.11; Prince George's County; Maryland,"2,068",0,0,48,161,415,455,817,143,7,22,6,1970 to 1979,"2,068",83,160,880,658,164,123,2,,,,,
Census Tract 8067.12; Prince George's County; Maryland,"1,649",0,0,10,96,490,715,71,254,13,0,6,1970 to 1979,"1,649",0,141,436,669,403,0,3,,,,,
Census Tract 8067.13; Prince George's County; Maryland,"1,283",4,74,176,122,50,390,151,211,31,74,6,1970 to 1979,"1,283",32,251,777,223,0,0,2,,,,,
Census Tract 8067.14; Prince George's County; Maryland,"1,942",0,968,187,96,138,128,359,63,0,3,4,1990 to 1999,"1,942",86,451,835,339,203,28,2,,,,,
Census Tract 8068; Prince George's County; Maryland,"1,289",0,12,3,18,15,75,320,615,91,140,8,1950 to 1959,"1,289",6,34,69,611,337,232,4,,,,,
Census Tract 8069; Prince George's County; Maryland,"1,616",0,15,46,168,46,40,237,763,245,56,7,1960 to 1969,"1,616",0,0,154,637,398,427,4,,,,,
Census Tract 8070; Prince George's County; Maryland,"3,822",0,"1,424",298,181,330,261,339,478,338,173,5,1980 to 1989,"3,822",349,"1,059",477,795,961,181,2,,,,,
Census Tract 8071.02; Prince George's County; Maryland,"1,127",13,146,0,23,11,44,20,108,185,577,8,1950 to 1959,"1,127",3,52,202,423,220,227,3,,,,,
Census Tract 8073.01; Prince George's County; Maryland,"1,496",0,0,42,121,265,251,677,57,57,26,6,1970 to 1979,"1,496",215,451,330,69,177,254,2,,,,,
Census Tract 8073.04; Prince George's County; Maryland,618,0,0,0,4,29,44,211,272,18,40,8,1950 to 1959,618,0,14,16,166,291,131,4,,,,,
Census Tract 8073.05; Prince George's County; Maryland,"1,212",0,0,0,215,182,108,372,330,0,5,6,1970 to 1979,"1,212",0,13,170,447,250,332,4,,,,,
Census Tract 8074.04; Prince George's County; Maryland,"1,754",0,76,37,193,387,307,356,278,28,92,6,1970 to 1979,"1,754",0,168,325,554,400,307,3,,,,,
Census Tract 8074.05; Prince George's County; Maryland,"2,298",0,84,500,164,84,308,551,478,50,79,6,1970 to 1979,"2,298",39,285,452,527,609,386,3,,,,,
Census Tract 8074.07; Prince George's County; Maryland,"2,302",0,0,417,189,304,180,"1,007",117,0,88,6,1970 to 1979,"2,302",220,262,357,446,775,242,3,,,,,
Census Tract 8074.08; Prince George's County; Maryland,"2,495",0,0,80,484,190,131,382,262,644,322,7,1960 to 1969,"2,495",0,312,732,892,434,125,3,,,,,
Census Tract 8074.09; Prince George's County; Maryland,"1,144",0,0,10,257,163,230,184,242,16,42,6,1970 to 1979,"1,144",59,130,402,214,187,152,3,,,,,
Census Tract 8074.10; Prince George's County; Maryland,"2,604",0,55,"1,205",144,403,202,484,64,23,24,5,1980 to 1989,"2,604",203,604,"1,314",401,69,13,2,,,,,
Census Tract 8075; Prince George's County; Maryland,"3,107",0,602,240,149,164,128,693,204,191,736,6,1970 to 1979,"3,107",46,836,711,712,453,349,3,,,,,
Census Tract 9800; Prince George's County; Maryland,"1,474",13,102,468,93,76,177,308,0,22,215,5,1980 to 1989,"1,474",113,63,547,129,503,119,3,,,,,
